id,name,englishName,isPlanet,moons,semimajorAxis,perihelion,aphelion,eccentricity,inclination,mass,vol,density,gravity,escape,meanRadius,aroundPlanet,discoveredBy,discoveryDate,axialTilt,avgTemp,mainAnomaly,argPeriapsis,longAscNode,bodyType,mass_value,mass_exponent,mass_kg,vol_value,vol_exponent,vol_km3,moon_count
lune,La Lune,Moon,False,,384400,363300,405500,0.0549,5.145,{},{},3.344,1.62,2380.0,1737.0,{},,,6.68,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
phobos,Phobos,Phobos,False,,9378,9234,9518,0.0151,1.075,{},{},1.9,0.0057,11.39,11.1,{},Asaph Hall,12/08/1877,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
deimos,Deïmos,Deimos,False,,23459,23456,23471,0.0002,1.075,{},{},1.75,0.003,5.556,6.2,{},Asaph Hall,12/08/1877,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
io,Io,Io,False,,421800,420071,423529,0.004,0.036,{},,3.53,1.79,0.0,1821.5,{},Galileo Galilei,07/01/1610,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
europe,Europe,Europa,False,,671100,0,0,0.009,0.466,{},,3.01,1.31,0.0,1560.8,{},Galileo Galilei,08/01/1610,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
ganymede,Ganymède,Ganymede,False,,1070400,0,0,0.001,0.177,{},,1.94,1.428,0.0,2631.2,{},Galileo Galilei,11/01/1610,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
callisto,Callisto,Callisto,False,,1882700,0,0,0.007,0.192,{},,1.83,1.235,0.0,2410.3,{},Galileo Galilei,07/01/1610,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
amalthee,Amalthée,Amalthea,False,,181400,181150,182840,0.003,0.38,{},,3.1,0.02,0.0,84.0,{},E. Barnard,09/09/1892,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
himalia,Himalia,Himalia,False,,11461000,9782900,13082000,0.162,27.5,{},,1.0,0.062,0.0,85.0,{},C. Perrine,03/12/1904,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
elara,Élara,Elara,False,,11741000,0,0,0.217,26.63,{},,1.0,0.031,0.0,40.0,{},C. Perrine,02/01/1905,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
pasiphae,Pasiphaé,Pasiphae,False,,23624000,0,0,0.409,151.4,{},,1.0,0.022,0.0,18.0,{},P. Melotte,27/01/1908,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
sinope,Sinopé,Sinope,False,,23939000,0,0,0.25,158.1,{},,1.0,0.014,0.0,14.0,{},Seth Barnes Nicholson,21/07/1914,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
lysithea,Lysithéa,Lysithea,False,,11717000,0,0,0.112,28.3,{},,1.0,0.013,0.0,12.0,{},Seth Barnes Nicholson,06/07/1938,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
carme,Carmé,Carme,False,,23404000,0,0,0.253,164.9,{},,1.0,0.017,0.0,15.0,{},Seth Barnes Nicholson,30/07/1938,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
ananke,Ananké,Ananke,False,,21276000,0,0,0.244,148.9,{},,1.0,0.01,0.0,10.0,{},Seth Barnes Nicholson,28/09/1951,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
leda,Léda,Leda,False,,11165000,0,0,0.164,27.46,{},,1.0,0.0073,0.0,5.0,{},Charles Kowa,11/09/1974,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
thebe,Thébé,Thebe,False,,221900,218000,226000,0.018,1.08,{},,1.0,0.02,0.0,49.0,{},Stephen P. Synnott,05/03/1979,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
adrastee,Adrastée,Adrastea,False,,129000,0,0,0.002,0.054,{},,1.0,0.002,0.0,8.0,{},"David C. Jewitt, G. E. Danielson",08/07/1979,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
metis,Métis,Metis,False,,128000,127974,128026,0.001,0.019,{},,1.0,0.005,0.0,22.0,{},Stephen P. Synnott,04/03/1979,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
callirrhoe,Callirrhoé,Callirrhoe,False,,24102000,0,0,0.283,147.1,{},,1.0,0.0031,0.0,4.0,{},J.V. Scott,06/10/1999,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
themisto,Thémisto,Themisto,False,,7507000,5909000,8874300,0.242,43.08,{},,1.0,0.0029,0.0,4.0,{},"Charles Kowal 1975 - Scott S. Sheppard, David C. Jewitt 2000",30/09/1975,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
megaclite,Mégaclité,Megaclite,False,,23806000,0,0,0.421,152.8,{},,1.0,0.0,0.0,2.7,{},"Scott S. Sheppard, David C. Jewitt",23/11/2000,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
taygete,Taygété,Taygete,False,,23360000,0,0,0.252,165.2,{},,1.0,0.0,0.0,2.5,{},"Scott S. Sheppard, David C. Jewitt",23/11/2000,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
chaldene,Chaldéné,Chaldene,False,,23179000,0,0,0.251,165.2,{},,1.0,0.0,0.0,1.9,{},"Scott S. Sheppard, David C. Jewitt",23/11/2000,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
harpalyke,Harpalyké,Harpalyke,False,,21105000,0,0,0.226,148.6,{},,1.0,0.0,0.0,2.2,{},"Scott S. Sheppard, David C. Jewitt",23/11/2000,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
kalyke,Kalyké,Kalyke,False,,23583000,0,0,0.245,165.2,{},,1.0,0.0,0.0,2.6,{},"Scott S. Sheppard, David C. Jewitt",23/11/2000,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
iocaste,Iocasté,Iocaste,False,,21269000,0,0,0.216,149.4,{},,1.0,0.0,0.0,2.6,{},"Scott S. Sheppard, David C. Jewitt",23/11/2000,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
erinome,Erinomé,Erinome,False,,23279000,0,0,0.266,164.9,{},,1.0,0.0,0.0,1.6,{},"Scott S. Sheppard, David C. Jewitt",23/11/2000,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
isonoe,Isonoé,Isonoe,False,,23217000,0,0,0.246,165.2,{},,1.0,0.0,0.0,1.9,{},"Scott S. Sheppard, David C. Jewitt",23/11/2000,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
praxidike,Praxidyké,Praxidike,False,,21147000,0,0,0.23,149.0,{},,1.0,0.0,0.0,3.4,{},"Scott S. Sheppard, David C. Jewitt",23/11/2000,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
autonoe,Autonoé,Autonoe,False,,23039000,0,0,0.334,152.9,{},,1.0,0.0015,0.0,2.0,{},"Scott S. Sheppard, David C. Jewitt",10/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
thyone,Thyoné,Thyone,False,,20940000,0,0,0.229,148.5,{},,1.0,0.0015,0.0,2.0,{},"Scott S. Sheppard, David C. Jewitt",11/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
hermippe,Hermippé,Hermippe,False,,21131000,0,0,0.21,150.7,{},,1.0,0.0015,0.0,2.0,{},"Scott S. Sheppard, David C. Jewitt",19/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
aitne,Aitné,Aitne,False,,23231000,0,0,0.264,165.1,{},,1.0,0.0012,0.0,1.5,{},"Scott S. Sheppard, David C. Jewitt",19/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
eurydome,Eurydomé,Eurydome,False,,22865000,0,0,0.276,150.3,{},,1.0,0.0012,0.0,1.5,{},"Scott S. Sheppard, David C. Jewitt",19/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
euanthe,Euanthé,Euanthe,False,,20799000,0,0,0.232,148.9,{},,1.0,0.0012,0.0,1.5,{},"Scott S. Sheppard, David C. Jewitt",11/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
euporie,Euporie,Euporie,False,,19302000,0,0,0.144,145.8,{},,1.0,0.0,0.0,1.0,{},"Scott S. Sheppard, David C. Jewitt",11/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
orthosie,Orthosie,Orthosie,False,,20721000,0,0,0.281,145.9,{},,1.0,0.00081,0.0,1.0,{},"Scott S. Sheppard, David C. Jewitt",11/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
sponde,Spondé,Sponde,False,,23487000,0,0,0.312,151.0,{},,1.0,0.00081,0.0,1.0,{},"Scott S. Sheppard, David C. Jewitt",19/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
cale,Calé,Kale,False,,23217000,0,0,0.26,165.0,{},,1.0,0.00081,0.0,1.0,{},"Scott S. Sheppard, David C. Jewitt",19/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
pasithee,Pasithée,Pasithee,False,,23096000,0,0,0.267,165.1,{},,1.0,0.00081,0.0,1.0,{},"Scott S. Sheppard, David C. Jewitt",11/12/2001,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
hegemone,Hégémone,Hegemone,False,,23947000,0,0,0.328,155.2,{},,1.0,0.0,0.0,2.0,{},"Scott S. Sheppard, David C. Jewitt",2003,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
mneme,Mnémé,Mneme,False,,21069000,0,0,0.227,148.6,{},,1.0,0.0,0.0,2.0,{},"Scott S. Sheppard, David C. Jewitt",2003,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
aoede,Aoedé,Aoede,False,,23981000,0,0,0.432,158.3,{},,1.0,0.0,0.0,2.0,{},"Scott S. Sheppard, David C. Jewitt",2003,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
thelxinoe,Thelxinoé,Thelxinoe,False,,21162000,0,0,0.221,151.4,{},,1.0,0.0,0.0,2.0,{},"Scott S. Sheppard, David C. Jewitt",2003,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
arche,Arché,Arche,False,,22931000,0,0,0.259,165.0,{},,1.0,0.0012,0.0,1.5,{},"Scott S. Sheppard, David C. Jewitt",31/10/2002,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
callichore,Callichore,Kallichore,False,,24043000,0,0,0.264,165.5,{},,1.0,0.0,0.0,2.0,{},"Scott S. Sheppard, David C. Jewitt",2003,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
helice,Hélicé,Helike,False,,21263000,0,0,0.156,154.8,{},,1.0,0.0,0.0,4.0,{},"Scott S. Sheppard, David C. Jewitt",2003,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
carpo,Carpo,Carpo,False,,16989000,0,0,0.43,51.4,{},,1.0,0.0,0.0,3.0,{},"Scott S. Sheppard, David C. Jewitt",2003,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
