spkid,full_name,pdes,a,e,i,w,om,ma,per,q,ad,H,diameter,albedo,rot_per,class,neo,pha
20000944,   944 Hidalgo (A920 UB),944,5.728181240850815,0.6622543829494995,42.54802533545957,56.56739171643946,21.3899053032339,171.0003046541289,5007.529920176203,1.93466810776826,9.52169437393337,10.55,38.0,0.06,10.063,CEN,N,N
20002060,  2060 Chiron (1977 UB),2060,13.69894349534141,0.3782232479060514,6.922251597122774,339.2467140293224,209.3013502423929,208.9157672168655,18519.49066887113,8.517684593651905,18.88020239703092,5.55,166.0,0.15,5.918,CEN,N,N
20005145,  5145 Pholus (1992 AD),5145,20.28081640133036,0.5745411797393266,24.74628840761756,354.6857534787483,119.2996077189645,132.4278583619218,33360.04110465883,8.628652220033329,31.93298058262738,7.07,190.0,0.044,9.98,CEN,N,N
20005335,  5335 Damocles (1991 DA),5335,11.87143744436492,0.866513693152901,61.86368857949977,191.0923219238922,314.1909624653043,304.7189814687355,14940.09604499949,1.584674341414636,22.15820054731521,13.23,,,,CEN,N,N
20007066,  7066 Nessus (1993 HA2),7066,24.53344702240794,0.5169892332782993,15.63491706437455,170.4151050947798,31.32365366347359,98.84746633356085,44385.00622379745,11.84991905661949,37.21697498819641,9.57,,,,CEN,N,N
20008405,  8405 Asbolus (1995 GO),8405,18.0687284602191,0.6175281897636732,17.61667248210306,290.6649014583923,5.968388115593652,106.9556328023473,28053.67838473391,6.910779282848638,29.22667763758957,9.21,66.0,0.13,8.9351,CEN,N,N
20010199, 10199 Chariklo (1997 CU26),10199,15.74843321008466,0.1696134873247949,23.42487196167972,241.3228094814963,300.470103881936,123.7443670809162,22827.29525993846,13.07728653342059,18.41957988674874,6.54,302.0,0.045,7.004,CEN,N,N
20010370, 10370 Hylonome (1995 DW2),10370,24.95264301204352,0.2454770040849378,4.141949885422495,5.386237370446823,178.2410220757714,87.146174791137,45527.442747995,18.82734296144612,31.07794306264092,8.2,,,,CEN,N,N
20015504, 15504 (1999 RG33),15504,9.376325329213929,0.7729843896415117,34.95630329448597,273.7983359017067,23.39914188292262,335.4258675391466,10486.90728149,2.128572217531253,16.6240784408966,12.23,,,,CEN,N,N
20020461, 20461 Dioretsa (1999 LD31),20461,23.77058577261987,0.900780378065002,160.4191932500721,102.2692453019537,297.1694573873289,79.17822163911443,42330.97318499179,2.358508533532789,45.18266301170696,13.92,,,,CEN,N,N
20031824, 31824 Elatus (1999 UG5),31824,11.75669482867897,0.3842968031038197,5.25247563699004,282.0095946,87.01844978051417,238.5830221656074,14724.01647648233,7.238634590950435,16.27475506640751,10.26,57.0,0.05,26.82,CEN,N,N
20032532, 32532 Thereus (2001 PT13),32532,10.63134165057921,0.1976949698779975,20.37351432205564,86.69150773823287,205.1698545927918,272.0667675303116,12661.36530688425,8.529578883205255,12.73310441795317,9.17,86.5,0.059,8.335,CEN,N,N
20037117, 37117 Narcissus (2000 VU2),37117,6.881122034004511,0.5545163148870049,13.82584756391863,180.2288495205509,248.3988417239264,125.6421827159838,6593.064383654539,3.065427601420557,10.69681646658846,13.39,11.2,0.088,,CEN,N,N
20049036, 49036 Pelion (1998 QM107),49036,20.06182739502118,0.1320638338158427,9.343941181449642,154.3454170687763,126.878891499658,130.3583779433788,32821.17775595765,17.41238555588298,22.71126923415937,10.38,,,,CEN,N,N
20052872, 52872 Okyrhoe (1998 SG35),52872,8.365340733492545,0.3067867994002712,15.66546286738588,337.3104146585951,173.1000494757643,258.6241128500677,8837.38712022894,5.79896462397165,10.93171684301344,10.92,36.0,0.058,9.72,CEN,N,N
20052975, 52975 Cyllarus (1998 TF35),52975,26.27781902516515,0.3780763968572293,12.62762167368248,301.8363980584624,51.8256757106865,95.05863347357048,49201.95991889845,16.34279589086436,36.21284215946594,8.9,,,,CEN,N,N
