spkid,full_name,pdes,prefix,a,e,i,w,om,tp,per,q,ad,M1,M2,K1,K2,class,data_arc
1000036,    1P/Halley,1P,P,17.93003431157555,0.9679221169240834,162.1951462980701,112.2128395742619,59.07198712310091,2446469.698337207711,27731.29225689917,0.575157544193894,35.28491107895721,5.5,13.6,8.0,5.0,HTC,57852
1000068,   12P/Pons-Brooks,12P,P,17.18491452308093,0.9545612442754914,74.19091017602224,198.9879994752779,255.8553510791566,2460421.631159501460,26020.73089961969,0.780861133160835,33.58896791300104,5.0,11.0,15.0,10.0,HTC,26285
1000066,   13P/Olbers,13P,P,16.67969536791195,0.9297107574509694,44.62502938866992,64.5341878025397,85.85921642611014,2460492.239400616916,24881.7314684971,1.172403153359105,32.1869875824648,6.8,,18.25,,HTC,50351
1000212,   20D/Westphal,20D,D,15.6421524304176,0.919831188993609,40.8900610587027,57.08095497141959,348.0064469311446,2420098.290255874618,22596.60517891492,1.2540127619273,30.03029209890796,8.8,,10.0,,HTC,22321
1000009,   23P/Brorsen-Metcalf,23P,P,17.0692068346223,0.9719522579248508,19.33394046981863,129.6106836788667,311.5854622141069,2447781.437433134682,25758.37362225135,0.4787527107248574,33.65966095851974,7.8,14.0,8.0,5.0,HTC,51904
1000016,   27P/Crommelin,27P,P,9.093496941663725,0.9192598738413604,29.22111461111518,195.9554453537227,250.9593527477335,2455776.067845756339,10016.01149936462,0.7342100902931331,17.45278379303431,12.7,16.3,27.75,5.0,HTC,20203
1000043,   35P/Herschel-Rigollet,35P,P,28.8435453,0.97405,64.207,29.298,355.98,2429484.964,56613.75,0.74849,56.9386006,8.3,,10.0,,HTC,
1000089,   38P/Stephan-Oterma,38P,P,11.28902794782029,0.8592873437686652,18.35295008457787,359.588511670587,78.0002990161777,2458433.487106702993,13854.25730410925,1.588509108807567,20.98954678683301,11.6,13.4,9.5,5.0,HTC,28321
1000095,   55P/Tempel-Tuttle,55P,P,10.3383382297577,0.905552720972412,162.486575379434,172.5002736828059,235.270989149082,2450872.597734112361,12141.56115249823,0.976427915467506,19.70024854404794,10.0,16.0,25.0,10.0,HTC,48407
1000140,  109P/Swift-Tuttle,109P,P,26.0920694978266,0.963225755046038,113.453816997171,152.9821676305871,139.3811920815948,2448968.499784556297,48681.19346262312,0.959516155068868,51.22462284058444,4.5,8.5,15.0,10.0,HTC,94131
1000156,  122P/de Vico,122P,P,17.68081665189708,0.9627088867609728,85.38275311444475,12.99609193700053,79.62450068849807,2449996.500173375464,27155.13134533326,0.6593373359243723,34.70229596786979,7.5,,10.0,,HTC,54902
1000042,  161P/Hartley-IRAS,161P,P,7.730366119265318,0.8350880971909477,95.69805019936666,47.09145237546669,1.398165371226708,2453542.350534576275,7850.52175672687,1.274829386138673,14.18590285239196,11.5,15.0,11.5,5.0,HTC,7994
1000909,  177P/Barnard,177P,P,24.30466899065874,0.9544420406209868,31.21645855446403,60.45355083971904,272.0677211344989,2453976.183241819866,43765.6107014696,1.107271122596795,47.50206685872069,15.7,18.3,13.0,5.0,HTC,42903
1000765,  273P/Pons-Gambart,273P,P,32.83234635549665,0.9753243653418344,136.3960312125772,20.19191161075621,320.4311716157664,2456281.170881306387,68714.96153890778,0.8101589836385896,64.85453372735472,11.3,14.9,8.75,5.0,HTC,68223
1000352,  473P/NEAT,473P,P,7.927206246854233,0.8224954438756285,56.94853830371601,43.10650071099184,22.18497813897631,2452218.222571997289,8152.272035357676,1.407115226154206,14.44729726755426,11.2,16.6,25.75,5.0,HTC,8330
1000954,     C/1905 F1 (Giacobini),1905 F1,C,23.56086154999865,0.9527773749167384,40.06682872116929,358.1636569392155,158.9519943465741,2416940.002304206133,41771.99119112173,1.112605731614217,46.00911736838309,,,,,HTC,25
