spkid,full_name,pdes,prefix,a,e,i,w,om,tp,per,q,ad,M1,M2,K1,K2,class,data_arc
1000099,    8P/Tuttle,8P,P,5.700291361749948,0.8197876162331501,54.98196882510133,207.5115175085094,270.3421615706648,2454492.518015469346,4971.002810563728,1.027263094466541,10.37331962903336,14.6,,4.5,,JFC,20161
1000061,   96P/Machholz 1,96P,P,3.035068595409598,0.9591608428638698,58.13790031260349,14.7928448266822,94.25472309284206,2458054.460781752717,1931.306460842796,0.1239496432868665,5.946187547532331,13.7,16.9,8.75,5.0,JFC,4468
1000047,  126P/IRAS,126P,P,5.640003629888552,0.6962753940161444,45.86937071663915,356.5236832653162,357.8622263831168,2460130.855511844407,4892.349809568307,1.713007880235416,9.566999379541688,11.8,14.9,11.0,5.0,JFC,10052
1000154,  262P/McNaught-Russell,262P,P,6.935352620871021,0.8154009345750882,29.07941848690008,171.1697623683127,218.0143063768048,2456265.959588081078,6671.158323904247,1.280259612205003,12.59044562953704,14.7,,6.5,,JFC,6706
1003435,  333P/LINEAR,333P,P,4.220646477230712,0.736084320187304,131.9703774313574,26.07593919454299,115.6200726248399,2457480.454480601273,3167.137309723998,1.113894784287404,7.32739817017402,14.9,,7.75,,JFC,6478
1001542,  342P/SOHO,342P,P,3.043003759113562,0.9826020621617956,13.2747864590719,58.70418485035059,43.40094149131597,2457571.135933622404,1938.88548830283,0.05294199024248015,6.033065527984645,,,,,JFC,5816
1002413,  389P/Siding Spring,389P,P,5.619541879510574,0.7046692924261683,160.0719180720845,249.4903017510053,218.811241734605,2458851.349407906556,4865.750042042187,1.659623279516638,9.579460479504508,14.3,19.3,19.5,5.0,JFC,4823
1000981,     C/1914 S1 (Campbell),1914 S1,C,7.053170344726793,0.9038339728957764,76.85692474452995,265.279484921001,2.401352524231942,2420347.633272645880,6841.872647941967,0.6782753705417023,13.42806531891189,,,,,JFC,5
1001439,     P/1999 J6 (SOHO),1999 J6,P,3.098992106746036,0.984234205313902,26.62913842970726,21.94712532373169,81.59821778765323,2453317.807221526779,1992.641321148073,0.04885807328879616,6.149126140203276,,,,,JFC,4000
1001843,     C/2002 R5 (SOHO),2002 R5,C,3.216122949016427,0.9852609836574224,14.12092580610674,45.72753871498713,13.2144492419891,2452522.684229484505,2106.67427189474,0.04740248870529189,6.384843409327561,,,,,JFC,2105
1001852,     P/2002 S7 (SOHO),2002 S7,P,3.223581551268087,0.9848494540870316,13.57713789191816,52.16509106976515,50.1905984170055,2454652.328628349704,2114.006991550848,0.04883902029668499,6.398324082239489,,,,,JFC,2114
1003317,     P/2008 Y12 (SOHO),2008 Y12,P,3.078197849901596,0.9787617006560736,23.34537060288814,146.6220726022164,312.5747369881633,2454822.973199271805,1972.619048755936,0.06537568737604073,6.09102001242715,,,,,JFC,1973
1003064,     P/2010 D2 (WISE),2010 D2,P,6.689610144014443,0.4530244026325743,57.1769742299665,120.068180014667,319.8358599165465,2455260.661488548386,6319.74623754659,3.659053504677491,9.720166783351395,14.4,,4.5,,JFC,428
1003231,     P/2013 AL76 (Catalina),2013 AL76,P,6.477008087939232,0.6838864958843407,144.858571736202,27.2008959264397,145.9376195028269,2456274.825626626516,6020.881585865412,2.047469722863937,10.90654645301453,16.1,18.5,10.0,5.0,JFC,47
1003377,     C/2015 D1 (SOHO),2015 D1,C,4.989016899800109,0.9943230680445668,69.61561804949724,234.9554132197588,95.88102600738615,2457073.248332157833,4070.248167806847,0.02832230946467193,9.949711490135543,10.0,,4.5,,JFC,3
1003593,     P/2017 TW13 (Lemmon),2017 TW13,P,7.162442944454066,0.7097633251998353,44.83634703278221,120.1088179927675,322.2776499304327,2458290.485353801088,7001.485440067234,2.078803623644249,12.24608226526388,12.6,,11.25,,JFC,718
1003824,     P/2021 U3 (Attard-Maury),2021 U3,P,4.192038207835151,0.5499085507800939,69.96296654661488,335.2084882301755,75.1130817787552,2459512.356674430265,3134.990833700233,1.886800552149741,6.497275863520561,16.8,,4.5,,JFC,99
