spkid,full_name,pdes,a,e,i,w,om,ma,per,q,ad,H,diameter,albedo,rot_per,class,neo,pha
20000588,   588 Achilles (A906 DN),588,5.213512390473016,0.1484090330905347,10.31632168542906,134.1091005464901,316.5370240942083,60.36917469551912,4348.045117642497,4.439780057597393,5.987244723348639,8.22,130.099,0.043,7.306,TJN,N,N
20000617,   617 Patroclus (A906 UL),617,5.206044850768956,0.1395333573716905,22.06484612204256,308.6722050108996,44.34995711125393,25.58994731740651,4338.706623480793,4.479627934113562,5.932461767424351,8.25,140.362,0.047,102.8,TJN,N,N
20000624,   624 Hektor (A907 CF),624,5.275524855278196,0.02415474435779737,18.14948734532919,180.178734790604,342.8031918061934,353.4441975293664,4425.852510421222,5.148095901045744,5.402953809510647,7.33,225.0,0.025,6.924,TJN,N,N
20000659,   659 Nestor (A908 FE),659,5.170048157931761,0.1156895936817323,4.521821535601748,343.8334266343023,350.757401939296,165.8109285299145,4293.785149247295,4.571927387225647,5.768168928637876,8.7,112.32,0.035,15.98,TJN,N,N
20000884,   884 Priamus (A917 SU),884,5.208929976059632,0.124047002730885,8.89574618091759,337.5445638440593,301.4423139126007,112.9646583968036,4342.313808982562,4.562777825094374,5.85508212702489,8.64,101.093,0.044,6.8605,TJN,N,N
20000911,   911 Agamemnon (A919 FB),911,5.285944298672499,0.06718891119245304,21.75592187474733,82.35838371627968,338.0201370645588,86.0890876610043,4438.970925177267,4.930787456620739,5.641101140724259,7.86,131.038,0.072,6.592,TJN,N,N
20001143,  1143 Odysseus (1930 BH),1143,5.229114729419045,0.09048450063419272,3.142101361041147,238.6048654099803,221.2262990304705,35.97541971784147,4367.578130743756,4.755960894368661,5.70226856446943,8.39,114.624,0.05,10.114,TJN,N,N
20001172,  1172 Aneas (1930 UA),1172,5.237235385776302,0.105906634227592,16.65566207369528,52.36104298068307,247.2546377964779,91.97135995997068,4377.756154007938,4.682577413411089,5.791893358141515,8.18,118.02,0.059,8.705,TJN,N,N
20001173,  1173 Anchises (1930 UB),1173,5.271815651040102,0.1379426264289574,6.92665130460574,41.48926747031653,283.9062389414142,34.60411240773718,4421.185627384025,4.544607554086347,5.999023747993857,8.94,99.549,0.05,11.595,TJN,N,N
20001208,  1208 Troilus (1931 YA),1208,5.254101078427068,0.09282757610711632,33.54393316019168,296.5175675831474,48.54685913234363,42.01277877145872,4398.91998237101,4.766375610694897,5.741826546159238,9.06,100.477,0.041,56.17,TJN,N,N
20001404,  1404 Ajax (1936 QW),1404,5.283894364403955,0.1126473404200049,18.03093414722115,61.84311759109258,332.8774131199503,96.20146657706478,4436.388969384705,4.688677717193597,5.879111011614313,9.29,83.99,0.048,29.411,TJN,N,N
20001437,  1437 Diomedes (1937 PB),1437,5.225063612233632,0.04626341712551348,20.45539767200648,130.7455100000507,315.783596356363,90.1503050788004,4362.503616875351,4.983334314833526,5.466792909633739,8.15,117.786,0.061,24.49,TJN,N,N
20001583,  1583 Antilochus (1950 SA),1583,5.150910131241249,0.05350378509962475,28.48791798908262,188.9964145973999,221.380926960407,115.3575818971283,4269.965695736219,4.875316942511837,5.42650331997066,8.56,108.842,0.054,15.759,TJN,N,N
20001647,  1647 Menelaus (1957 MK),1647,5.202292995214327,0.02332286947495138,5.652797315370213,297.725681068838,240.3021262734705,318.4104137628455,4334.017286034191,5.080960594716489,5.323625395712165,10.47,42.716,0.056,17.74,TJN,N,N
20001749,  1749 Telamon (1949 SB),1749,5.13979539362499,0.1087501921446373,6.098727219431125,114.3832292884911,340.8353820683463,48.44052965575142,4256.152427122711,4.58084165698415,5.698749130265829,9.47,64.898,0.073,11.413,TJN,N,N
20001867,  1867 Deiphobus (1971 EA),1867,5.134615894940485,0.04509267578739114,26.8975906708723,1.135264622090321,283.6879926213116,105.931539993616,4249.720503421406,4.903082325097149,5.366149464783821,8.33,118.22,0.06,58.66,TJN,N,N
20001868,  1868 Thersites (2008 P-L),1868,5.313282314595948,0.1088496171434395,16.7533432051223,171.2803496622733,197.789024766975,125.7120157898894,4473.451829593435,4.73493356887717,5.891631060314725,9.47,68.163,0.055,10.492,TJN,N,N
20001869,  1869 Philoctetes (4596 P-L),1869,5.174449409492614,0.06533242903430371,3.973635960612498,325.2948066689386,43.81263986223026,117.5439224683884,4299.269251930368,4.836390060655344,5.512508758329886,11.13,22.655,0.104,,TJN,N,N
20001870,  1870 Glaukos (1971 FE),1870,5.237980908992022,0.03289843878044831,6.581645485693294,131.8108524025007,176.2975855192205,67.81529899888426,4378.69095111474,5.06565951472439,5.410302303259653,10.61,47.649,0.049,5.986,TJN,N,N
20001871,  1871 Astyanax (1971 FF),1871,5.220447014753849,0.03339500709849789,8.611919914987254,166.7559655723573,145.7665301998375,36.69903750024285,4356.723168427604,5.046110149638812,5.394783879868886,11.24,27.828,0.076,6.517,TJN,N,N
