section,Body,Image,Radius,Volume,Mass,Surface area,Density,Gravity,Type,Discovery,Radius ( km ),Mass (10 18 kg),Density (g/cm 3 ),Refs r · M,Mass ( 10 18 kg ),Mass ( 10 15 kg ),Type – notes,Radius ( m ),Mass ( 10 9 kg )
Objects_with_radii_over_400_km,( km ),,( 10 9 km 3 ),( V 🜨 ),( 10 21 kg),( M 🜨 ),(10 6 km 2 ),🜨,(g/cm 3 ),(m/s 2 ),,,,,,,,,
Objects_with_radii_over_400_km,Sun,wikipedia_images\120px-The_Sun_in_white_light.jpg,695 700 ± ?,109.2,"1,409,300,000","1,301,000",1 989 100 000,"333,000","6,078,700","11,918",,,,,,,,,
Objects_with_radii_over_400_km,Jupiter,wikipedia_images\120px-Jupiter_OPAL_2024.png,69 911 ± 6,10.97,"1,431,280","1,321",1 898 187 ± 88,317.83,"61,419",120.41,,,,,,,,,
Objects_with_radii_over_400_km,Saturn,wikipedia_images\120px-Saturn_square_crop.jpg,58 232 ± 6 ( 136 775 for A Ring ),9.140,"827,130",764,568 317 ± 13,95.162,"42,612",83.54,,,,,,,,,
Objects_with_radii_over_400_km,Uranus,wikipedia_images\120px-Uranus_Voyager2_color_calibrated.png,25 362 ± 7,3.981,"68,340",63.1,86 813 ± 4,14.536,8083.1,15.85,,,,,,,,,
Objects_with_radii_over_400_km,Neptune,wikipedia_images\120px-Neptune_Voyager2_color_calibrated.png,24 622 ± 19,3.865,"62,540",57.7,102 413 ± 5,17.147,7618.3,14.94,,,,,,,,,
Objects_with_radii_over_400_km,Earth,wikipedia_images\120px-The_Blue_Marble_%28remastered%29.jpg,6 371 .0084 ± 0.0001,1,"1,083.21",1,5 972 .4 ± 0.3,1,510.06447,1,,,,,,,,,
Objects_with_radii_over_400_km,Venus,wikipedia_images\120px-Venus_2_Approach_Image.jpg,6 051 .8 ± 1.0,0.9499,928.43,0.857,4 867 .5 ± 0.2,0.815,460.2,0.903,,,,,,,,,
Objects_with_radii_over_400_km,Mars,wikipedia_images\120px-Mars_-_August_30_2021_-_Flickr_-_Kevin_M._Gill.png,3 389 .5 ± 0.2,0.5320,163.18,0.151,641.71 ± 0.03,0.107,144.37,0.283,,,,,,,,,
Objects_with_radii_over_400_km,Ganymede Jupiter III,wikipedia_images\120px-Ganymede_JunoGill_2217.jpg,2 634 .1 ± 0.3,0.4135,76.30,0.0704,148.2,0.0248,86.999,0.171,,,,,,,,,
Objects_with_radii_over_400_km,Titan Saturn VI,wikipedia_images\120px-Titan_in_true_color.jpg,2 574 .73 ± 0.09,0.4037,71.50,0.0658,134.5,0.0225,83.3054,0.163,,,,,,,,,
Objects_with_radii_over_400_km,Mercury,wikipedia_images\120px-Mercury_in_true_color.jpg,2 439 .7 ± 1.0,0.3829,60.83,0.0562,330.11 ± 0.02,0.0553,74.797,0.147,,,,,,,,,
Objects_with_radii_over_400_km,Callisto Jupiter IV,wikipedia_images\120px-Callisto_-_July_8_1979_%2838926064465%29.jpg,2 410 .3 ± 1.5,0.3783,58.65,0.0541,107.6,0.018,73.005,0.143,,,,,,,,,
Objects_with_radii_over_400_km,Io Jupiter I,wikipedia_images\120px-Io_highest_resolution_true_color.jpg,1 821 .6 ± 0.5,0.2859,25.32,0.0234,89.32,0.015,41.698,0.082,,,,,,,,,
Objects_with_radii_over_400_km,Moon Earth I,wikipedia_images\120px-FullMoon2010.jpg,1 737 .4 ± 0.1,0.2727,21.958,0.0203,73.46,0.0123,37.937,0.074,,,,,,,,,
Objects_with_radii_over_400_km,Europa Jupiter II,wikipedia_images\120px-Europa_in_natural_color.png,1 560 .8 ± 0.5,0.2450,15.93,0.0147,48.00,0.008035,30.613,0.06,,,,,,,,,
Objects_with_radii_over_400_km,Triton Neptune I,wikipedia_images\120px-Triton.usgs23.png,1 353 .4 ± 0.9,0.2124,10.38,0.0096,21.39 ± 0.03,0.003599,23.018,0.045,,,,,,,,,
Objects_with_radii_over_400_km,Pluto 134340,wikipedia_images\120px-Pluto_in_True_Color_-_High-Res.jpg,1 188 .3 ± 0.8,0.187,7.057,0.00651,13.03 ± 0.03,0.0022,17.79,0.034,,,,,,,,,
Objects_with_radii_over_400_km,Eris 136199,wikipedia_images\120px-Eris_and_dysnomia2.jpg,1 163 ± 6,0.1825,6.59,0.0061,16.6 ± 0.2,0.0028,17,0.033,,,,,,,,,
Objects_with_radii_over_400_km,Haumea 136108,wikipedia_images\120px-Haumea_Hubble.png,798 ± 6 to 816,0.12,1.98,0.0018,4.01 ± 0.04,0.00066,8.14,0.016,,,,,,,,,
Objects_with_radii_over_400_km,Titania Uranus III,wikipedia_images\120px-Titania_%28moon%29_color%2C_cropped.jpg,788.9 ± 1.8,0.1237,2.06,0.0019,3.40 ± 0.06,0.00059,7.82,0.015,,,,,,,,,
Objects_with_radii_over_400_km,Rhea Saturn V,wikipedia_images\120px-Rhea_hi-res_PIA07763.jpg,763.8 ± 1.0,0.1199,1.87,0.0017,2.307,0.00039,7.34,0.014,,,,,,,,,
Objects_with_radii_over_400_km,Oberon Uranus IV,wikipedia_images\120px-Oberon_in_true_color_by_Kevin_M._Gill.jpg,761.4 ± 2.6,0.1195,1.85,0.0017,3.08 ± 0.09,0.0005,7.285,0.014,,,,,,,,,
