,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,axialTilt,avgTemp,mainAnomaly,argPeriapsis,longAscNode,mass_value,mass_exponent,mass_kg,vol_value,vol_exponent,vol_km3,moon_count
semimajorAxis,1.0,0.454041611531909,0.9663970330529538,0.30988210546806044,-0.09190365372499615,0.026225305302860876,0.005654369338719539,0.008158869251230232,-0.004710155558752155,0.015384007787094794,-0.0018530247042444568,0.039567719717653584,0.04379959900858062,0.04342204351404675,,,,,,,0.005750370312924201
perihelion,0.454041611531909,1.0,0.48193396129889454,0.06919188562766905,-0.24162107745127415,0.15076520861136355,0.12942238396371192,0.13362288470419365,0.005523739805896299,0.16010477670766957,0.055611845315762104,0.3194160418492992,0.36020905720454277,0.3730500027386761,,,,,,,0.09587115143587858
aphelion,0.9663970330529538,0.48193396129889454,1.0,0.27152882156472224,-0.09551908243143911,0.03728815580605585,0.0018540598178896906,0.003939013058194308,-0.00429107165982365,0.011157268054950405,-0.002410229820618411,0.03162811876508317,0.034185776301023624,0.033000034773292684,,,,,,,0.0028074414667279375
eccentricity,0.30988210546806044,0.06919188562766905,0.27152882156472224,1.0,0.4150631129986828,-0.2668676133209223,-0.13626268221672394,-0.11134906278784587,-0.07865866621064621,-0.08824822401703618,-0.10224772496338819,-0.08865687391772602,-0.09647927127652982,-0.10705813988296235,,,,,,,-0.07980756620530843
inclination,-0.09190365372499615,-0.24162107745127415,-0.09551908243143911,0.4150631129986828,1.0,-0.41936498603625477,-0.16363543427800697,-0.1375605199941839,-0.08106219691538286,-0.1251332053694174,-0.14639348246993744,-0.15945195375714252,-0.16909935425533074,-0.18296263616070213,,,,,,,-0.10273011173602899
density,0.026225305302860876,0.15076520861136355,0.03728815580605585,-0.2668676133209223,-0.41936498603625477,1.0,0.3358667192390239,0.18224421155414489,0.029573722109591073,0.3534197341557678,0.5832960715146198,0.41726659755409434,0.30370209744504467,0.35410249550358097,,,,,,,0.02991285382683266
gravity,0.005654369338719539,0.12942238396371192,0.0018540598178896906,-0.13626268221672394,-0.16363543427800697,0.3358667192390239,1.0,0.9612782087041867,0.11781878958729601,0.42069797749331295,0.558184267351073,0.5485514351227704,0.6752709825605189,0.6760317751674876,,,,,,,0.7160485339882732
escape,0.008158869251230232,0.13362288470419365,0.003939013058194308,-0.11134906278784587,-0.1375605199941839,0.18224421155414489,0.9612782087041867,1.0,0.13019078784912752,0.32022015626995637,0.4027557647786139,0.5028745539862949,0.6948721311877514,0.669358853260141,,,,,,,0.8530216757004446
meanRadius,-0.004710155558752155,0.005523739805896299,-0.00429107165982365,-0.07865866621064621,-0.08106219691538286,0.029573722109591073,0.11781878958729601,0.13019078784912752,1.0,0.060017356180576055,0.03642714768293393,0.059129842886941744,0.08680316749744421,0.07987589227610287,,,,,,,0.1249198871181155
axialTilt,0.015384007787094794,0.16010477670766957,0.011157268054950405,-0.08824822401703618,-0.1251332053694174,0.3534197341557678,0.42069797749331295,0.32022015626995637,0.060017356180576055,1.0,0.6783787096598974,0.28476350377648263,0.322904593962681,0.5632582117890071,,,,,,,0.17633701282682263
avgTemp,-0.0018530247042444568,0.055611845315762104,-0.002410229820618411,-0.10224772496338819,-0.14639348246993744,0.5832960715146198,0.558184267351073,0.4027557647786139,0.03642714768293393,0.6783787096598974,1.0,0.4820328617522881,0.39766154978376844,0.5354465737597578,,,,,,,0.21774576295833062
mainAnomaly,0.039567719717653584,0.3194160418492992,0.03162811876508317,-0.08865687391772602,-0.15945195375714252,0.41726659755409434,0.5485514351227704,0.5028745539862949,0.059129842886941744,0.28476350377648263,0.4820328617522881,1.0,0.7357584714161474,0.7234199828452983,,,,,,,0.46132148922772714
argPeriapsis,0.04379959900858062,0.36020905720454277,0.034185776301023624,-0.09647927127652982,-0.16909935425533074,0.30370209744504467,0.6752709825605189,0.6948721311877514,0.08680316749744421,0.322904593962681,0.39766154978376844,0.7357584714161474,1.0,0.8851591012412835,,,,,,,0.6372202192263101
longAscNode,0.04342204351404675,0.3730500027386761,0.033000034773292684,-0.10705813988296235,-0.18296263616070213,0.35410249550358097,0.6760317751674876,0.669358853260141,0.07987589227610287,0.5632582117890071,0.5354465737597578,0.7234199828452983,0.8851591012412835,1.0,,,,,,,0.5549440275611126
mass_value,,,,,,,,,,,,,,,,,,,,,
mass_exponent,,,,,,,,,,,,,,,,,,,,,
mass_kg,,,,,,,,,,,,,,,,,,,,,
vol_value,,,,,,,,,,,,,,,,,,,,,
vol_exponent,,,,,,,,,,,,,,,,,,,,,
vol_km3,,,,,,,,,,,,,,,,,,,,,
moon_count,0.005750370312924201,0.09587115143587858,0.0028074414667279375,-0.07980756620530843,-0.10273011173602899,0.02991285382683266,0.7160485339882732,0.8530216757004446,0.1249198871181155,0.17633701282682263,0.21774576295833062,0.46132148922772714,0.6372202192263101,0.5549440275611126,,,,,,,1.0
