id,name,alternative_names,object_type,is_planet,data_source,data_quality,mean_radius_km,mass_kg,density_g_cm3,gravity_m_s2,escape_velocity_km_s,avg_temperature_k,semimajor_axis_km,perihelion_km,aphelion_km,eccentricity,inclination_deg,discovered_by,discovery_date,has_image,clustering_enabled,last_updated,sbdb_class,is_neo,is_pha,diameter_km,absolute_magnitude_H,albedo,rotation_period_h,semimajor_axis_au,orbital_period_days,perihelion_distance_au,aphelion_distance_au,argument_periapsis_deg,longitude_ascending_node_deg,mean_anomaly_deg,has_orbital_data,is_anomaly,anomaly_type,display_name,search_keywords,ui_category
lune,Moon,"['La Lune', 'Moon']",Moon,False,OpenData,Primary,1737.0,0.0,3.344,1.62,2380.0,0.0,384400.0,363300.0,405500.0,0.0549,5.145,,,True,False,2025-08-04T16:11:00.705996,,,,,,,,,,,,,,,,False,,Moon,"pha,potentially hazardous,near earth,neo,moon,la lune",Lunas
phobos,Phobos,"['Phobos', 'Phobos']",Moon,False,OpenData,Primary,11.1,0.0,1.9,0.0057,11.39,0.0,9378.0,9234.0,9518.0,0.0151,1.075,Asaph Hall,12/08/1877,False,False,2025-08-04T16:11:00.706103,,,,,,,,,,,,,,,,False,,Phobos,"pha,potentially hazardous,near earth,phobos,neo,moon",Lunas
deimos,Deimos,"['Deïmos', 'Deimos']",Moon,False,OpenData,Primary,6.2,0.0,1.75,0.003,5.556,0.0,23459.0,23456.0,23471.0,0.0002,1.075,Asaph Hall,12/08/1877,False,False,2025-08-04T16:11:00.706154,,,,,,,,,,,,,,,,False,,Deimos,"pha,potentially hazardous,near earth,deimos,neo,deïmos,moon",Lunas
io,Io,"['Io', 'Io']",Moon,False,OpenData,Primary,1821.5,0.0,3.53,1.79,0.0,0.0,421800.0,420071.0,423529.0,0.004,0.036,Galileo Galilei,07/01/1610,False,False,2025-08-04T16:11:00.706196,,,,,,,,,,,,,,,,False,,Io,"pha,potentially hazardous,near earth,io,neo,moon",Lunas
europe,Europa,"['Europe', 'Europa']",Moon,False,OpenData,Primary,1560.8,0.0,3.01,1.31,0.0,0.0,671100.0,0.0,0.0,0.009,0.466,Galileo Galilei,08/01/1610,False,False,2025-08-04T16:11:00.706235,,,,,,,,,,,,,,,,False,,Europa,"pha,potentially hazardous,near earth,europa,neo,europe,moon",Lunas
ganymede,Ganymede,"['Ganymède', 'Ganymede']",Moon,False,OpenData,Primary,2631.2,0.0,1.94,1.428,0.0,0.0,1070400.0,0.0,0.0,0.001,0.177,Galileo Galilei,11/01/1610,False,False,2025-08-04T16:11:00.706288,,,,,,,,,,,,,,,,False,,Ganymede,"pha,potentially hazardous,near earth,ganymède,neo,ganymede,moon",Lunas
callisto,Callisto,"['Callisto', 'Callisto']",Moon,False,OpenData,Primary,2410.3,0.0,1.83,1.235,0.0,0.0,1882700.0,0.0,0.0,0.007,0.192,Galileo Galilei,07/01/1610,False,False,2025-08-04T16:11:00.706327,,,,,,,,,,,,,,,,False,,Callisto,"pha,potentially hazardous,near earth,callisto,neo,moon",Lunas
amalthee,Amalthea,"['Amalthée', 'Amalthea']",Moon,False,OpenData,Primary,84.0,0.0,3.1,0.02,0.0,0.0,181400.0,181150.0,182840.0,0.003,0.38,E. Barnard,09/09/1892,False,False,2025-08-04T16:11:00.706366,,,,,,,,,,,,,,,,False,,Amalthea,"pha,potentially hazardous,near earth,amalthea,neo,moon,amalthée",Lunas
himalia,Himalia,"['Himalia', 'Himalia']",Moon,False,OpenData,Primary,85.0,0.0,1.0,0.062,0.0,0.0,11461000.0,9782900.0,13082000.0,0.162,27.5,C. Perrine,03/12/1904,False,False,2025-08-04T16:11:00.706403,,,,,,,,,,,,,,,,False,,Himalia,"pha,potentially hazardous,near earth,himalia,neo,moon",Lunas
elara,Elara,"['Élara', 'Elara']",Moon,False,OpenData,Primary,40.0,0.0,1.0,0.031,0.0,0.0,11741000.0,0.0,0.0,0.217,26.63,C. Perrine,02/01/1905,False,False,2025-08-04T16:11:00.706439,,,,,,,,,,,,,,,,False,,Elara,"pha,potentially hazardous,near earth,elara,neo,moon,élara",Lunas
